version,release_date}
0.18.7,2016-07-03T22:20:20Z
0.18.6,2016-06-28T16:56:12Z
0.18.4,2016-06-22T13:36:55Z
0.18.2,2016-06-17T03:37:41Z
0.18.0,2016-06-14T22:07:38Z
0.17.4,2016-05-26T18:54:14Z
0.17.3,2016-05-20T19:14:11Z
0.17.2,2016-05-19T13:04:31Z
0.17.1,2016-05-19T13:04:22Z
0.17.0,2016-05-17T17:50:48Z
0.16.0,2016-05-05T21:09:36Z
0.15.0,2016-04-02T16:27:49Z
0.14.2,2016-03-23T10:39:28Z
0.14.1,2016-03-22T10:59:45Z
0.14.0,2016-03-22T10:59:26Z
0.13.0,2016-03-07T19:11:17Z
0.12.0,2016-02-16T16:26:17Z
0.11.1,2016-01-25T16:26:28Z
0.11.0,2016-01-23T18:42:12Z
0.10.2,2016-01-13T17:26:01Z
0.10.1,2016-01-08T01:50:05Z
0.10.0,2015-12-23T18:00:51Z
0.9.1,2015-10-30T04:12:33Z
0.9.0,2015-10-16T21:25:42Z
0.8.0,2015-09-19T12:43:10Z
0.7.7,2015-09-05T03:08:04Z
0.7.6,2015-08-13T22:08:40Z
0.7.5,2015-07-30T17:42:19Z
0.7.4,2015-06-24T01:22:42Z
0.7.3,2015-06-07T16:47:53Z
